step,s_loss,c_loss
927,5173449.0,28922.957
928,5165775.0,28917.078
929,5158119.0,28911.219
930,5150484.0,28905.398
931,5142867.0,28899.58
932,5135273.0,28893.734
933,5127699.5,28887.914
934,5120152.5,28882.021
935,5112628.0,28876.059
936,5105140.0,28870.098
937,5097682.0,28864.164
938,5090252.0,28858.203
939,5082850.5,28852.227
940,5075489.5,28846.234
941,5068168.5,28840.242
942,5060881.5,28834.25
943,5053620.5,28828.28
944,5046376.0,28822.305
945,5039155.5,28816.348
946,5031957.0,28810.414
947,5024777.5,28804.54
948,5017613.0,28798.754
949,5010455.0,28793.025
950,5003300.5,28787.342
951,4996159.0,28781.707
952,4989037.0,28776.145
953,4981938.0,28770.637
954,4974854.5,28765.172
955,4967791.5,28759.727
956,4960742.0,28754.277
957,4953723.0,28748.826
958,4946729.5,28743.36
959,4939755.0,28737.893
960,4932804.5,28732.377
961,4925882.0,28726.785
962,4919000.0,28721.092
963,4912145.0,28715.324
964,4905326.5,28709.467
965,4898549.0,28703.516
966,4891806.5,28697.498
967,4885099.0,28691.39
968,4878404.5,28685.215
969,4871730.0,28678.992
970,4865072.0,28672.73
971,4858422.0,28666.39
972,4851782.0,28660.02
973,4845162.0,28653.66
974,4838560.5,28647.332
975,4831978.5,28641.086
976,4825419.5,28634.914
977,4818885.0,28628.79
978,4812361.5,28622.752
979,4805851.0,28616.75
980,4799352.0,28610.76
981,4792876.0,28604.809
982,4786413.0,28598.896
983,4779964.5,28593.07
984,4773538.5,28587.3
985,4767133.5,28581.514
986,4760744.0,28575.75
987,4754374.0,28569.963
988,4748012.0,28564.172
989,4741668.0,28558.37
990,4735337.5,28552.613
991,4729030.0,28546.947
992,4722743.0,28541.297
993,4716473.0,28535.654
994,4710227.0,28530.027
995,4704005.0,28524.434
996,4697813.0,28518.908
997,4691640.0,28513.432
998,4685494.5,28507.973
999,4679374.0,28502.521
1000,4673264.5,28497.06
1001,4667162.5,28491.613
1002,4661067.0,28486.2
1003,4654985.5,28480.838
1004,4648914.0,28475.498
1005,4642869.0,28470.184
1006,4636836.0,28464.87
1007,4630828.5,28459.537
1008,4624837.5,28454.162
1009,4618868.5,28448.72
1010,4612913.0,28443.262
1011,4606970.5,28437.773
1012,4601042.0,28432.309
1013,4595136.0,28426.87
1014,4589251.5,28421.45
1015,4583383.5,28416.04
1016,4577533.5,28410.59
1017,4571700.5,28405.137
1018,4565888.0,28399.646
1019,4560099.0,28394.145
1020,4554327.0,28388.656
1021,4548564.0,28383.164
1022,4542815.0,28377.658
1023,4537081.0,28372.113
1024,4531362.0,28366.533
1025,4525660.0,28360.955
1026,4519981.0,28355.389
1027,4514324.5,28349.809
1028,4508693.5,28344.234
1029,4503078.0,28338.639
1030,4497490.0,28333.04
1031,4491925.0,28327.44
1032,4486380.5,28321.816
1033,4480851.5,28316.162
1034,4475340.0,28310.492
1035,4469855.5,28304.855
1036,4464393.0,28299.225
1037,4458946.0,28293.602
1038,4453506.5,28287.992
1039,4448072.0,28282.39
1040,4442639.0,28276.805
1041,4437215.0,28271.227
1042,4431798.0,28265.66
1043,4426385.0,28260.1
1044,4420984.0,28254.594
1045,4415594.0,28249.152
1046,4410225.5,28243.695
1047,4404878.0,28238.215
1048,4399557.5,28232.7
1049,4394264.0,28227.166
1050,4388999.5,28221.611
1051,4383757.0,28216.012
1052,4378529.0,28210.383
1053,4373320.5,28204.75
1054,4368122.0,28199.09
1055,4362937.5,28193.457
1056,4357763.5,28187.824
1057,4352603.0,28182.186
1058,4347457.5,28176.568
1059,4342324.5,28170.945
1060,4337201.5,28165.328
1061,4332090.5,28159.723
